Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;580.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;569.36;edge_0_0_0;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;19.70;vtypeauto.1;vtypeauto.0;562.96;edge_0_0_0;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;19.45;vtypeauto.1;vtypeauto.0;558.62;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
11;16.0;22.0;0.8;8;Successful;Effective;collision;20.76;vtypeauto.1;vtypeauto.0;586.81;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
12;16.0;22.0;0.8;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
13;16.0;22.0;0.9;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;555.69;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
14;16.0;22.0;0.9;8;Successful;Effective;collision;20.25;vtypeauto.1;vtypeauto.0;580.37;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
15;16.0;22.0;0.9;10;Successful;Effective;collision;21.42;vtypeauto.1;vtypeauto.0;599.23;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
16;16.0;22.0;1.0;5;Successful;Effective;collision;19.18;vtypeauto.1;vtypeauto.0;553.60;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.97;;;;;;;;
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.95;vtypeauto.1;vtypeauto.0;575.95;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
18;16.0;22.0;1.0;10;Successful;Effective;collision;20.68;vtypeauto.1;vtypeauto.0;591.88;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
19;16.0;22.0;1.1;5;Successful;Effective;collision;19.11;vtypeauto.1;vtypeauto.0;552.27;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.33;;;;;;;;
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.76;vtypeauto.1;vtypeauto.0;572.93;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.33;;;;;;;;
21;16.0;22.0;1.1;10;Successful;Effective;collision;20.31;vtypeauto.1;vtypeauto.0;587.18;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.33;;;;;;;;
22;16.1;22.1;0.5;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;580.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
24;16.1;22.1;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
25;16.1;22.1;0.6;5;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;569.36;edge_0_0_0;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
26;16.1;22.1;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
27;16.1;22.1;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
28;16.1;22.1;0.7;5;Successful;Effective;collision;19.70;vtypeauto.1;vtypeauto.0;562.96;edge_0_0_0;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
29;16.1;22.1;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
30;16.1;22.1;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
31;16.1;22.1;0.8;5;Successful;Effective;collision;19.45;vtypeauto.1;vtypeauto.0;558.62;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
32;16.1;22.1;0.8;8;Successful;Effective;collision;20.76;vtypeauto.1;vtypeauto.0;586.81;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
33;16.1;22.1;0.8;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
34;16.1;22.1;0.9;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;555.69;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
35;16.1;22.1;0.9;8;Successful;Effective;collision;20.25;vtypeauto.1;vtypeauto.0;580.37;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
36;16.1;22.1;0.9;10;Successful;Effective;collision;21.42;vtypeauto.1;vtypeauto.0;599.23;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
37;16.1;22.1;1.0;5;Successful;Effective;collision;19.18;vtypeauto.1;vtypeauto.0;553.60;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.97;;;;;;;;
38;16.1;22.1;1.0;8;Successful;Effective;collision;19.95;vtypeauto.1;vtypeauto.0;575.95;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
39;16.1;22.1;1.0;10;Successful;Effective;collision;20.68;vtypeauto.1;vtypeauto.0;591.88;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
40;16.1;22.1;1.1;5;Successful;Effective;collision;19.11;vtypeauto.1;vtypeauto.0;552.27;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.34;;;;;;;;
41;16.1;22.1;1.1;8;Successful;Effective;collision;19.76;vtypeauto.1;vtypeauto.0;572.93;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.34;;;;;;;;
42;16.1;22.1;1.1;10;Successful;Effective;collision;20.31;vtypeauto.1;vtypeauto.0;587.18;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.32;;;;;;;;
43;16.2;22.2;0.5;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;580.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
44;16.2;22.2;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
45;16.2;22.2;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
46;16.2;22.2;0.6;5;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;569.36;edge_0_0_0;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
47;16.2;22.2;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
48;16.2;22.2;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
49;16.2;22.2;0.7;5;Successful;Effective;collision;19.70;vtypeauto.1;vtypeauto.0;562.96;edge_0_0_0;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
50;16.2;22.2;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
51;16.2;22.2;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
52;16.2;22.2;0.8;5;Successful;Effective;collision;19.45;vtypeauto.1;vtypeauto.0;558.62;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
53;16.2;22.2;0.8;8;Successful;Effective;collision;20.76;vtypeauto.1;vtypeauto.0;586.81;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
54;16.2;22.2;0.8;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
55;16.2;22.2;0.9;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;555.69;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
56;16.2;22.2;0.9;8;Successful;Effective;collision;20.25;vtypeauto.1;vtypeauto.0;580.37;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
57;16.2;22.2;0.9;10;Successful;Effective;collision;21.42;vtypeauto.1;vtypeauto.0;599.23;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
58;16.2;22.2;1.0;5;Successful;Effective;collision;19.18;vtypeauto.1;vtypeauto.0;553.60;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
59;16.2;22.2;1.0;8;Successful;Effective;collision;19.95;vtypeauto.1;vtypeauto.0;575.95;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.95;;;;;;;;
60;16.2;22.2;1.0;10;Successful;Effective;collision;20.68;vtypeauto.1;vtypeauto.0;591.88;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.96;;;;;;;;
61;16.2;22.2;1.1;5;Successful;Effective;collision;19.11;vtypeauto.1;vtypeauto.0;552.27;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.34;;;;;;;;
62;16.2;22.2;1.1;8;Successful;Effective;collision;19.76;vtypeauto.1;vtypeauto.0;572.93;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.35;;;;;;;;
63;16.2;22.2;1.1;10;Successful;Effective;collision;20.31;vtypeauto.1;vtypeauto.0;587.18;edge_0_0_0;0.0;-5.0;0.25;-6.74;0.39;-7.82;0.47;-8.33;;;;;;;;
64;16.3;22.3;0.5;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;580.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
65;16.3;22.3;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
66;16.3;22.3;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;;;;;;;;
67;16.3;22.3;0.6;5;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;569.36;edge_0_0_0;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
68;16.3;22.3;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
69;16.3;22.3;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;;;;;;;;
70;16.3;22.3;0.7;5;Successful;Effective;collision;19.70;vtypeauto.1;vtypeauto.0;562.96;edge_0_0_0;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
71;16.3;22.3;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
72;16.3;22.3;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;;;;;;;;
73;16.3;22.3;0.8;5;Successful;Effective;collision;19.45;vtypeauto.1;vtypeauto.0;558.62;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
74;16.3;22.3;0.8;8;Successful;Effective;collision;20.76;vtypeauto.1;vtypeauto.0;586.81;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
75;16.3;22.3;0.8;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;;;;;;;;
76;16.3;22.3;0.9;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;555.69;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
77;16.3;22.3;0.9;8;Successful;Effective;collision;20.25;vtypeauto.1;vtypeauto.0;580.37;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
78;16.3;22.3;0.9;10;Successful;Effective;collision;21.42;vtypeauto.1;vtypeauto.0;599.23;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;;;;;;;;
79;16.3;22.3;1.0;5;Successful;Effective;collision;19.18;vtypeauto.1;vtypeauto.0;553.60;edge_0_0_0;0.0;-5.0;0.25;-6.58;0.39;-7.53;0.47;-7.95;;;;;;;;
