Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
85;16.3;22.3;0.5;5;80;7;Successful;Effective;collision;19.51;vtypeauto.1;vtypeauto.0;478.82;edge_0_0_0;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;;CACC
86;16.3;22.3;0.5;8;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;;CACC
87;16.3;22.3;0.5;10;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.32;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;;;;;CACC
88;16.3;22.3;0.5;5;100;7;Successful;Effective;collision;19.59;vtypeauto.1;vtypeauto.0;591.06;edge_0_0_0;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;;CACC
89;16.3;22.3;0.5;8;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;;CACC
90;16.3;22.3;0.5;10;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;;;;;CACC
91;16.3;22.3;0.5;5;80;8;Successful;Effective;collision;19.23;vtypeauto.1;vtypeauto.0;474.66;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;;;;;CACC
92;16.3;22.3;0.5;8;80;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;;;;;CACC
93;16.3;22.3;0.5;10;80;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;;;;;CACC
94;16.3;22.3;0.5;5;100;8;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;585.08;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;;;;;CACC
95;16.3;22.3;0.5;8;100;8;Successful;Effective;collision;20.52;vtypeauto.1;vtypeauto.0;610.37;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;;;;;CACC
96;16.3;22.3;0.5;10;100;8;Successful;Effective;No;No;No;No;No;No;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;;;;;CACC
97;16.4;22.4;0.5;5;80;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;494.69;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.32;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;;;;;CACC
98;16.4;22.4;0.5;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.32;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;;;;;CACC
