Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;550.41;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;collision;20.51;vtypeauto.1;vtypeauto.0;569.65;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;19.04;vtypeauto.1;vtypeauto.0;546.85;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;collision;19.87;vtypeauto.1;vtypeauto.0;565.76;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;collision;20.58;vtypeauto.1;vtypeauto.0;575.89;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;18.89;vtypeauto.1;vtypeauto.0;544.49;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;collision;19.54;vtypeauto.1;vtypeauto.0;562.49;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;collision;20.04;vtypeauto.1;vtypeauto.0;573.13;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;18.79;vtypeauto.1;vtypeauto.0;542.80;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
