Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;463.36;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;457.15;edge_0_0_0;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;19.62;vtypeauto.1;vtypeauto.0;453.15;edge_0_0_0;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;450.37;edge_0_0_0;0.0;-5.0;0.2;-6.26;0.31;-6.97;0.38;-7.26;;;;;;;;
11;16.0;22.0;0.8;8;Successful;Effective;collision;20.65;vtypeauto.1;vtypeauto.0;471.35;edge_0_0_0;0.0;-5.0;0.2;-6.26;0.31;-6.97;0.38;-7.26;;;;;;;;
12;16.0;22.0;0.8;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.26;0.31;-6.97;0.38;-7.26;;;;;;;;
13;16.0;22.0;0.9;5;Successful;Effective;collision;19.24;vtypeauto.1;vtypeauto.0;448.42;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.31;-7.24;0.38;-7.59;;;;;;;;
14;16.0;22.0;0.9;8;Successful;Effective;collision;20.18;vtypeauto.1;vtypeauto.0;467.82;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.31;-7.24;0.38;-7.59;;;;;;;;
15;16.0;22.0;0.9;10;Successful;Effective;collision;21.28;vtypeauto.1;vtypeauto.0;480.37;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.31;-7.24;0.38;-7.59;;;;;;;;
16;16.0;22.0;1.0;5;Successful;Effective;collision;19.14;vtypeauto.1;vtypeauto.0;447.07;edge_0_0_0;0.0;-5.0;0.2;-6.58;0.31;-7.52;0.38;-7.95;;;;;;;;
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.90;vtypeauto.1;vtypeauto.0;465.18;edge_0_0_0;0.0;-5.0;0.2;-6.58;0.31;-7.52;0.38;-7.95;;;;;;;;
18;16.0;22.0;1.0;10;Successful;Effective;collision;20.61;vtypeauto.1;vtypeauto.0;477.10;edge_0_0_0;0.0;-5.0;0.2;-6.58;0.31;-7.52;0.38;-7.95;;;;;;;;
19;16.0;22.0;1.1;5;Successful;Effective;collision;19.07;vtypeauto.1;vtypeauto.0;446.09;edge_0_0_0;0.0;-5.0;0.2;-6.74;0.31;-7.81;0.38;-8.18;;;;;;;;
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.72;vtypeauto.1;vtypeauto.0;463.29;edge_0_0_0;0.0;-5.0;0.2;-6.74;0.31;-7.81;0.38;-8.32;;;;;;;;
21;16.0;22.0;1.1;10;Successful;Effective;collision;20.26;vtypeauto.1;vtypeauto.0;474.50;edge_0_0_0;0.0;-5.0;0.2;-6.74;0.31;-7.81;0.38;-8.31;;;;;;;;
22;16.1;22.1;0.5;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;463.36;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
24;16.1;22.1;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;;;;;;;;
25;16.1;22.1;0.6;5;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;457.15;edge_0_0_0;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
26;16.1;22.1;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
27;16.1;22.1;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.31;-6.46;0.38;-6.65;;;;;;;;
28;16.1;22.1;0.7;5;Successful;Effective;collision;19.62;vtypeauto.1;vtypeauto.0;453.15;edge_0_0_0;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
29;16.1;22.1;0.7;8;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
30;16.1;22.1;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.31;-6.71;0.38;-6.95;;;;;;;;
