Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
27;16.1;22.1;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
28;16.1;22.1;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
29;16.1;22.1;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
30;16.1;22.1;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
31;16.1;22.1;0.8;5;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;445.08;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
32;16.1;22.1;0.8;8;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;462.43;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
33;16.1;22.1;0.8;10;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;472.65;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
34;16.1;22.1;0.9;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;443.65;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
35;16.1;22.1;0.9;8;Successful;Effective;collision;19.68;vtypeauto.1;vtypeauto.0;460.31;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
36;16.1;22.1;0.9;10;Successful;Effective;collision;20.27;vtypeauto.1;vtypeauto.0;470.57;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
