Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;19.23;vtypeauto.1;vtypeauto.0;443.33;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;441.13;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;455.71;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;18.85;vtypeauto.1;vtypeauto.0;439.66;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;collision;19.49;vtypeauto.1;vtypeauto.0;454.16;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;collision;19.99;vtypeauto.1;vtypeauto.0;462.24;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;18.75;vtypeauto.1;vtypeauto.0;438.47;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
11;16.0;22.0;0.8;8;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;452.78;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
12;16.0;22.0;0.8;10;Successful;Effective;collision;19.69;vtypeauto.1;vtypeauto.0;461.24;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
13;16.0;22.0;0.9;5;Successful;Effective;collision;18.69;vtypeauto.1;vtypeauto.0;437.75;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
14;16.0;22.0;0.9;8;Successful;Effective;collision;19.16;vtypeauto.1;vtypeauto.0;451.73;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
15;16.0;22.0;0.9;10;Successful;Effective;collision;19.49;vtypeauto.1;vtypeauto.0;460.16;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
16;16.0;22.0;1.0;5;Successful;Effective;collision;18.65;vtypeauto.1;vtypeauto.0;437.25;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.07;vtypeauto.1;vtypeauto.0;450.93;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
18;16.0;22.0;1.0;10;Successful;Effective;collision;19.36;vtypeauto.1;vtypeauto.0;459.34;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
19;16.0;22.0;1.1;5;Successful;Effective;collision;18.63;vtypeauto.1;vtypeauto.0;437.04;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.01;vtypeauto.1;vtypeauto.0;450.39;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
21;16.0;22.0;1.1;10;Successful;Effective;collision;19.26;vtypeauto.1;vtypeauto.0;458.57;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
22;16.1;22.1;0.5;5;Successful;Effective;collision;19.23;vtypeauto.1;vtypeauto.0;443.33;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
24;16.1;22.1;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
25;16.1;22.1;0.6;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;441.13;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
26;16.1;22.1;0.6;8;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;455.71;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
27;16.1;22.1;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
28;16.1;22.1;0.7;5;Successful;Effective;collision;18.85;vtypeauto.1;vtypeauto.0;439.66;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
29;16.1;22.1;0.7;8;Successful;Effective;collision;19.49;vtypeauto.1;vtypeauto.0;454.16;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
30;16.1;22.1;0.7;10;Successful;Effective;collision;19.99;vtypeauto.1;vtypeauto.0;462.24;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
31;16.1;22.1;0.8;5;Successful;Effective;collision;18.75;vtypeauto.1;vtypeauto.0;438.47;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
32;16.1;22.1;0.8;8;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;452.78;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
33;16.1;22.1;0.8;10;Successful;Effective;collision;19.69;vtypeauto.1;vtypeauto.0;461.24;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
34;16.1;22.1;0.9;5;Successful;Effective;collision;18.69;vtypeauto.1;vtypeauto.0;437.75;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
35;16.1;22.1;0.9;8;Successful;Effective;collision;19.16;vtypeauto.1;vtypeauto.0;451.73;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
36;16.1;22.1;0.9;10;Successful;Effective;collision;19.49;vtypeauto.1;vtypeauto.0;460.16;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
37;16.1;22.1;1.0;5;Successful;Effective;collision;18.65;vtypeauto.1;vtypeauto.0;437.25;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
38;16.1;22.1;1.0;8;Successful;Effective;collision;19.07;vtypeauto.1;vtypeauto.0;450.93;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
39;16.1;22.1;1.0;10;Successful;Effective;collision;19.36;vtypeauto.1;vtypeauto.0;459.34;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;;;;;;;;
