Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;19.59;vtypeauto.1;vtypeauto.0;556.39;edge_0_0_0;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;19.26;vtypeauto.1;vtypeauto.0;551.72;edge_0_0_0;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;collision;20.44;vtypeauto.1;vtypeauto.0;573.90;edge_0_0_0;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;19.07;vtypeauto.1;vtypeauto.0;548.71;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;collision;19.90;vtypeauto.1;vtypeauto.0;569.09;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;collision;20.75;vtypeauto.1;vtypeauto.0;581.74;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;18.94;vtypeauto.1;vtypeauto.0;546.48;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;;;;;;;;
11;16.0;22.0;0.8;8;Successful;Effective;collision;19.60;vtypeauto.1;vtypeauto.0;565.52;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;;;;;;;;
12;16.0;22.0;0.8;10;Successful;Effective;collision;20.16;vtypeauto.1;vtypeauto.0;577.65;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;;;;;;;;
13;16.0;22.0;0.9;5;Successful;Effective;collision;18.86;vtypeauto.1;vtypeauto.0;545.08;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;;;;;;;;
14;16.0;22.0;0.9;8;Successful;Effective;collision;19.41;vtypeauto.1;vtypeauto.0;562.94;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;;;;;;;;
15;16.0;22.0;0.9;10;Successful;Effective;collision;19.84;vtypeauto.1;vtypeauto.0;574.41;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;;;;;;;;
16;16.0;22.0;1.0;5;Successful;Effective;collision;18.80;vtypeauto.1;vtypeauto.0;543.96;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.28;vtypeauto.1;vtypeauto.0;561.02;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
18;16.0;22.0;1.0;10;Successful;Effective;collision;19.64;vtypeauto.1;vtypeauto.0;572.04;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
19;16.0;22.0;1.1;5;Successful;Effective;collision;18.76;vtypeauto.1;vtypeauto.0;543.21;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.20;vtypeauto.1;vtypeauto.0;559.84;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
21;16.0;22.0;1.1;10;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;570.19;edge_0_0_0;0.0;-7.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;;;;;;;;
22;16.1;22.1;0.5;5;Successful;Effective;collision;19.59;vtypeauto.1;vtypeauto.0;556.39;edge_0_0_0;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;;;;;;;;
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;;;;;;;;
