Column1;Ex ID;Start_time;End_time;Injected_value;Impact_status;Collision_state;Collision time;collider;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min
0;1;16.0;22.0;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
1;2;16.0;22.0;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
2;3;16.0;22.0;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
3;4;16.0;22.0;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
4;5;16.0;22.0;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
5;6;16.0;22.0;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.96
6;7;16.0;22.0;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.09
7;8;16.1;22.1;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
8;9;16.1;22.1;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
9;10;16.1;22.1;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
10;11;16.1;22.1;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
11;12;16.1;22.1;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
12;13;16.1;22.1;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.95
13;14;16.1;22.1;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.14
14;15;16.2;22.2;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
15;16;16.2;22.2;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
16;17;16.2;22.2;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
17;18;16.2;22.2;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
18;19;16.2;22.2;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
19;20;16.2;22.2;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.94
20;21;16.2;22.2;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.21
21;22;16.3;22.3;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
22;23;16.3;22.3;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
23;24;16.3;22.3;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
24;25;16.3;22.3;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
25;26;16.3;22.3;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
26;27;16.3;22.3;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
27;28;16.3;22.3;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.26
28;29;16.4;22.4;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
29;30;16.4;22.4;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
30;31;16.4;22.4;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
31;32;16.4;22.4;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
32;33;16.4;22.4;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
33;34;16.4;22.4;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
34;35;16.4;22.4;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.31
35;36;16.5;22.5;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
36;37;16.5;22.5;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
37;38;16.5;22.5;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
38;39;16.5;22.5;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
39;40;16.5;22.5;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
40;41;16.5;22.5;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
41;42;16.5;22.5;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.31
42;43;16.6;22.6;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
43;44;16.6;22.6;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.64
44;45;16.6;22.6;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
45;46;16.6;22.6;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
46;47;16.6;22.6;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
47;48;16.6;22.6;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
48;49;16.6;22.6;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.3
49;50;16.7;22.7;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
50;51;16.7;22.7;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.65
51;52;16.7;22.7;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
52;53;16.7;22.7;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
53;54;16.7;22.7;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
54;55;16.7;22.7;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
55;56;16.7;22.7;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.3
56;57;16.8;22.8;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
57;58;16.8;22.8;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.65
58;59;16.8;22.8;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
59;60;16.8;22.8;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
60;61;16.8;22.8;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
61;62;16.8;22.8;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
62;63;16.8;22.8;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.3
63;64;16.9;22.9;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
64;65;16.9;22.9;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.65
65;66;16.9;22.9;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
66;67;16.9;22.9;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
67;68;16.9;22.9;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
68;69;16.9;22.9;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
69;70;16.9;22.9;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.3
70;71;17.0;23.0;0.5;Effective;collision;20.67;vtypeauto.1;0.0;-5.0;0.16;-5.79;0.25;-6.21;0.3;-6.36
71;72;17.0;23.0;0.6;Effective;collision;19.92;vtypeauto.1;0.0;-5.0;0.16;-5.95;0.25;-6.46;0.3;-6.65
72;73;17.0;23.0;0.7;Effective;collision;19.56;vtypeauto.1;0.0;-5.0;0.16;-6.1;0.25;-6.71;0.3;-6.94
73;74;17.0;23.0;0.8;Effective;collision;19.34;vtypeauto.1;0.0;-5.0;0.16;-6.26;0.25;-6.97;0.3;-7.25
74;75;17.0;23.0;0.9;Effective;collision;19.20;vtypeauto.1;0.0;-5.0;0.16;-6.41;0.25;-7.24;0.3;-7.58
75;76;17.0;23.0;1.0;Effective;collision;19.10;vtypeauto.1;0.0;-5.0;0.16;-6.57;0.25;-7.52;0.3;-7.93
76;77;17.0;23.0;1.1;Effective;collision;19.03;vtypeauto.1;0.0;-5.0;0.16;-6.73;0.25;-7.81;0.3;-8.3
77;78;17.1;23.1;0.5;Effective;No;No;No;0.0;-5.0;0.16;-5.14;0.25;-5.54;0.3;-5.76
78;79;17.1;23.1;0.6;Effective;No;No;No;0.0;-5.0;0.16;-5.17;0.25;-5.63;0.3;-5.89
79;80;17.1;23.1;0.7;Effective;No;No;No;0.0;-5.0;0.16;-5.19;0.25;-5.72;0.3;-6.02
80;81;17.1;23.1;0.8;Effective;No;No;No;0.0;-5.0;0.16;-5.23;0.25;-5.8;0.3;-6.15
81;82;17.1;23.1;0.9;Effective;collision;21.44;vtypeauto.2;0.0;-5.0;0.16;-5.26;0.25;-5.89;0.3;-6.28
82;83;17.1;23.1;1.0;Effective;collision;20.94;vtypeauto.2;0.0;-5.0;0.16;-5.3;0.25;-5.98;0.3;-6.41
83;84;17.1;23.1;1.1;Effective;collision;20.65;vtypeauto.2;0.0;-5.0;0.16;-5.34;0.25;-6.07;0.3;-6.54
84;85;17.2;23.2;0.5;Effective;No;No;No;0.0;-5.0;0.16;-5.13;0.25;-5.22;0.3;-5.41
85;86;17.2;23.2;0.6;Effective;No;No;No;0.0;-5.0;0.16;-5.15;0.25;-5.26;0.3;-5.46
86;87;17.2;23.2;0.7;Effective;No;No;No;0.0;-5.0;0.16;-5.17;0.25;-5.29;0.3;-5.51
87;88;17.2;23.2;0.8;Effective;No;No;No;0.0;-5.0;0.16;-5.2;0.25;-5.33;0.3;-5.56
88;89;17.2;23.2;0.9;Effective;No;No;No;0.0;-5.0;0.16;-5.23;0.25;-5.38;0.3;-5.62
89;90;17.2;23.2;1.0;Effective;No;No;No;0.0;-5.0;0.16;-5.26;0.25;-5.44;0.3;-5.68
